Close,Timestamp,High,Low,Open
225.0,1424368800,225.0,225.0,225.0
244.0,1424376000,244.0,225.0,225.0
244.0,1424383200,244.0,244.0,244.0
244.0,1424390400,244.0,244.0,244.0
244.0,1424397600,244.0,244.0,244.0
244.0,1424404800,244.0,244.0,244.0
240.25011568,1424412000,240.25011809,240.25011568,240.25011809
245.0,1424419200,245.0,244.0,244.0
240.25,1424426400,240.25018557,240.25,240.25018557
240.25,1424433600,240.25,240.25,240.25
240.25,1424440800,240.25,240.25,240.25
240.25,1424448000,240.25,240.25,240.25
240.25,1424455200,240.25,240.25,240.25
240.25,1424462400,240.25,240.25,240.25
240.25,1424469600,240.25,240.25,240.25
240.25,1424476800,240.25,240.25,240.25
240.25,1424484000,240.25,240.25,240.25
240.25,1424491200,240.25,240.25,240.25
240.25,1424498400,240.25,240.25,240.25
240.25,1424505600,240.25,240.25,240.25
240.25,1424512800,240.25,240.25,240.25
240.25,1424520000,240.25,240.25,240.25
240.25,1424527200,240.25,240.25,240.25
240.25,1424534400,240.25,240.25,240.25
245.0,1424541600,245.0,245.0,245.0
245.0,1424548800,245.0,245.0,245.0
245.0,1424556000,245.0,245.0,245.0
245.0,1424563200,245.0,245.0,245.0
249.0,1424570400,249.0,249.0,249.0
249.0,1424577600,249.0,249.0,249.0
249.0,1424584800,249.0,249.0,249.0
245.0,1424592000,245.0,245.0,245.0
245.0,1424599200,245.0,245.0,245.0
245.0,1424606400,245.0,245.0,245.0
244.0,1424613600,245.00001722,244.0,245.00001722
244.0,1424620800,244.0,244.0,244.0
235.5,1424628000,235.50000711,235.5,235.50000711
235.001,1424635200,235.001,235.001,235.001
235.0,1424642400,235.001,235.0,235.00000472
235.001,1424649600,235.001,235.0,235.00000236
235.0,1424656800,235.00001888,235.0,235.00001888
235.0,1424664000,235.0,235.0,235.0
235.00002596,1424671200,235.00002596,235.00002596,235.00002596
235.00002596,1424678400,235.00002596,235.00002596,235.00002596
235.00002596,1424685600,235.00002596,235.00002596,235.00002596
235.00002596,1424692800,235.00002596,235.00002596,235.00002596
235.00002596,1424700000,235.00002596,235.00002596,235.00002596
235.00002596,1424707200,235.00002596,235.00002596,235.00002596
235.00002596,1424714400,235.00002596,235.00002596,235.00002596
235.00002596,1424721600,235.00002596,235.00002596,235.00002596
235.0,1424728800,235.0,235.0,235.0
235.0,1424736000,235.0,235.0,235.0
235.0,1424743200,235.0,235.0,235.0
235.0,1424750400,235.0,235.0,235.0
235.0,1424757600,235.0,235.0,235.0
235.0,1424764800,235.0,235.0,235.0
235.0,1424772000,235.0,235.0,235.0
238.00003776,1424779200,238.00003776,238.00003776,238.00003776
238.00003776,1424786400,238.00003776,238.00003776,238.00003776
238.00003776,1424793600,238.00003776,238.00003776,238.00003776
238.00003776,1424800800,238.00003776,238.00003776,238.00003776
238.00003776,1424808000,238.00003776,238.00003776,238.00003776
239.75,1424815200,239.75,239.75,239.75
239.75,1424822400,239.75,239.75,239.75
239.75,1424829600,239.75,239.75,239.75
239.75,1424836800,239.75,239.75,239.75
239.75,1424844000,239.75,239.75,239.75
239.75,1424851200,239.75,239.75,239.75
237.75,1424858400,239.75,237.75,239.75
237.75,1424865600,237.75,237.75,237.75
237.75,1424872800,237.75,237.75,237.75
237.75,1424880000,237.75,237.75,237.75
237.75,1424887200,237.75,237.75,237.75
237.75,1424894400,237.75,237.75,237.75
237.75,1424901600,237.75,237.75,237.75
237.75,1424908800,237.75,237.75,237.75
237.75,1424916000,237.75,237.75,237.75
237.75,1424923200,237.75,237.75,237.75
237.75,1424930400,237.75,237.75,237.75
237.75,1424937600,237.75,237.75,237.75
237.75,1424944800,237.75,237.75,237.75
237.75,1424952000,237.75,237.75,237.75
239.79999999,1424959200,239.79999999,237.75,237.75
239.79999999,1424966400,239.79999999,239.79999999,239.79999999
238.5,1424973600,238.5,238.5,238.5
238.5,1424980800,238.5,238.5,238.5
238.5,1424988000,238.5,238.5,238.5
238.5,1424995200,238.5,238.5,238.5
248.6,1425002400,248.6,238.49999999,238.49999999
239.0,1425009600,239.0,239.0,239.0
239.0,1425016800,239.0,239.0,239.0
249.0,1425024000,249.0,239.0,239.0
249.0,1425031200,249.0,249.0,249.0
249.0,1425038400,249.0,249.0,249.0
239.0,1425045600,249.0,239.0,249.0
239.0,1425052800,239.0,239.0,239.0
249.0,1425060000,249.0,249.0,249.0
249.0,1425067200,249.0,249.0,249.0
249.0,1425074400,249.0,249.0,249.0
249.0,1425081600,249.0,249.0,249.0
240.0,1425088800,240.0,240.0,240.0
240.0,1425096000,240.0,240.0,240.0
240.0,1425103200,240.0,240.0,240.0
240.0,1425110400,240.0,240.0,240.0
240.0,1425117600,240.0,240.0,240.0
240.0,1425124800,240.0,240.0,240.0
240.0,1425132000,240.0,240.0,240.0
240.0,1425139200,240.0,240.0,240.0
240.0,1425146400,240.0,240.0,240.0
251.0,1425153600,251.0,240.0,240.00005302
240.00006025,1425160800,240.00006025,240.00006025,240.00006025
240.00006025,1425168000,240.00006025,240.00006025,240.00006025
240.00006025,1425175200,240.00006025,240.00006025,240.00006025
240.0001205,1425182400,240.0001205,240.0001205,240.0001205
240.0001205,1425189600,240.0001205,240.0001205,240.0001205
251.0,1425196800,251.0,251.0,251.0
251.0,1425204000,251.0,251.0,251.0
251.0,1425211200,251.0,251.0,251.0
251.0,1425218400,251.0,251.0,251.0
251.0,1425225600,251.0,251.0,251.0
251.0,1425232800,251.0,251.0,251.0
251.0,1425240000,251.0,251.0,251.0
251.0,1425247200,251.0,251.0,251.0
251.0,1425254400,251.0,251.0,251.0
251.0,1425261600,251.0,251.0,251.0
251.0,1425268800,251.0,251.0,251.0
251.0,1425276000,251.0,251.0,251.0
251.0,1425283200,251.0,251.0,251.0
251.0,1425290400,251.0,251.0,251.0
252.0,1425297600,252.0,252.0,252.0
252.0,1425304800,252.0,252.0,252.0
251.00000756,1425312000,251.00000756,251.00000756,251.00000756
251.0,1425319200,251.00000504,251.0,251.00000504
269.0,1425326400,269.0,252.0,252.0
269.0,1425333600,269.0,269.0,269.0
269.0,1425340800,269.0,269.0,269.0
269.0,1425348000,269.0,269.0,269.0
268.0,1425355200,268.0,268.0,268.0
268.0,1425362400,268.0,268.0,268.0
260.0,1425369600,274.0,260.0,265.0
269.0,1425376800,274.5,255.0,272.49999999
269.0,1425384000,269.0,269.0,269.0
258.87499998,1425391200,269.0,258.87499998,269.0
258.87499998,1425398400,268.19999999,258.87499998,268.19999999
258.87499998,1425405600,258.87499998,258.87499998,258.87499998
267.21999999,1425412800,267.21999999,267.21999999,267.21999999
267.21999999,1425420000,267.21999999,267.21999999,267.21999999
267.21999999,1425427200,267.21999999,267.21999999,267.21999999
267.21999999,1425434400,267.21999999,267.21999999,267.21999999
267.21999999,1425441600,267.21999999,267.21999999,267.21999999
267.21999999,1425448800,267.21999999,267.21999999,267.21999999
267.21999999,1425456000,267.21999999,267.21999999,267.21999999
258.87499998,1425463200,258.87499998,258.87499998,258.87499998
258.87499998,1425470400,258.87499998,258.87499998,258.87499998
258.87499998,1425477600,258.87499998,258.87499998,258.87499998
258.87499998,1425484800,258.87499998,258.87499998,258.87499998
280.0,1425492000,280.00000001,267.22,267.22
280.0,1425499200,280.0,280.0,280.0
280.0,1425506400,280.0,280.0,280.0
280.0,1425513600,280.0,280.0,280.0
257.0,1425520800,257.0,257.0,257.0
257.0,1425528000,257.0,257.0,257.0
